client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1155.8333333333333 1.031888304748772 69350 0 69350 1098.8 1182.2 31.44930311893521 1.0 173.0 1.3158474616450673
1 2000 10 1099.4166666666667 1.0365537707852466 65965 0 65965 1055.2 1140.6 29.10707245098112 1.0 182.0 1.4477202189598268
1 3000 10 1107.6 1.0341928251121075 66456 0 66456 1082.4 1135.4 19.702081108349955 1.0 38.0 0.8643440929841854
1 4000 10 1076.2666666666667 1.0239529154119902 64576 0 64576 1047.4 1106.0 20.20956869076295 1.0 35.0 0.6459332497792485
1 5000 10 1069.1166666666668 1.0267993520018515 64147 0 64147 1060.5 1085.8 9.436613092983434 1.0 43.0 0.7328071076019993
1 6000 10 1155.1666666666667 1.032496754651666 69310 0 69310 1137.1 1184.6 16.36895435471266 1.0 193.0 1.427349722072102
1 7000 10 1113.2 1.0272492887624467 66792 0 66792 1058.6 1131.4 27.537828527318617 1.0 37.0 0.7402412811377448
1 8000 10 1079.8333333333335 1.0287424580740179 64790 0 64790 1039.4 1129.0 33.7611413709114 1.0 41.0 0.7571278802084559
1 9000 10 1081.5666666666666 1.0275932549821154 64894 0 64894 1053.1 1100.8 18.149894398223555 1.0 42.0 0.7416921826535766
1 10000 10 1054.6666666666667 1.026547409486655 63280 0 63280 1019.7 1090.2 24.329543083803834 1.0 41.0 0.7101344376060714
