client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1947.3 4.758415400383227 116838 0 95098 1934.5 1990.7 21.432592003768484 1.0 154.0 10.012356615755085
1 2000 10 3737.7833333333333 38.33278835673527 224267 0 82184 3634.6 3857.8 85.42129515915028 1.0 820.0 90.98293735067918
1 3000 10 5396.55 172.68848744374185 323793 0 52497 5082.0 5619.2 197.4767404025092 1.0 1671.0 270.20387738255016
1 4000 10 6228.716666666666 905.0273113179771 373723 0 0 5799.1 7034.3 505.6016749049263 245.0 2186.0 384.5793824850503
1 5000 10 6551.816666666667 835.9814987700612 393109 0 0 5438.8 7440.6 807.288685456861 337.0 2553.0 364.64650803557095
1 6000 10 6528.683333333333 808.9701602688513 391721 0 0 5738.1 7377.3 664.264933341108 318.0 2413.0 323.1950146918375
1 7000 10 6599.816666666667 782.8933480475467 395989 0 0 5836.4 7156.0 481.177652916952 206.0 2381.0 328.22898495649525
1 8000 10 6926.15 731.7301694637898 415569 0 0 6344.7 7542.0 503.8161559537367 211.0 2561.0 351.3458685725877
1 9000 10 6972.516666666666 732.4091279602047 418351 0 0 6487.1 7481.0 443.6573426267919 209.0 2348.0 343.85706084372833
1 10000 10 7011.25 731.33755749688 420675 0 0 6684.6 7382.6 264.5487233006426 220.0 2611.0 385.9293211659846
