client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.2666666666667 1.8727870649493013 60016 0 59514 997.7 1002.5 1.5958278938114285 1.0 43.0 2.8534925969716944
1 2000 10 1999.8166666666666 3.064557937508757 119989 0 115905 1997.6 2003.2 1.9712094426181261 1.0 75.0 4.324765172075171
1 3000 10 3000.5166666666664 5.044325316056532 180031 0 146293 2994.2 3005.6 5.072047581270034 1.0 85.0 7.01806351200303
1 4000 10 3999.5833333333335 6.889871217440446 239975 0 143490 3982.9 4013.6 10.252690703745328 1.0 104.0 9.69299873325069
1 5000 10 5000.849999999999 9.30297971504303 300051 0 129872 4951.9 5043.8 29.285337628239994 1.0 122.0 13.632938172653224
1 6000 10 6004.433333333333 13.367257087884104 360266 0 116481 5987.3 6039.0 19.008068462278505 1.0 152.0 21.12789617931521
1 7000 10 6998.883333333333 18.852460803239893 419933 0 102658 6989.7 7009.9 8.152647831635312 1.0 186.0 29.53864287855157
1 8000 10 8012.116666666668 22.89214868509635 480727 0 103972 7989.8 8040.1 18.265094214557678 1.0 213.0 35.4511837916498
1 9000 10 9004.016666666666 29.45882238293263 540241 0 94598 8975.6 9049.1 25.71516413843549 1.0 246.0 43.670966301758476
1 10000 10 10000.25 40.487060467543834 600015 0 89061 9985.7 10015.4 11.76923956761855 1.0 281.0 54.856797375056594
1 11000 10 11001.016666666666 52.930666230422524 660061 0 77623 10995.3 11004.4 3.4178453251526424 1.0 303.0 65.15411743002957
1 12000 10 12038.916666666668 83.28415359186552 722335 0 69195 11994.2 12234.1 95.72436297341795 1.0 446.0 93.79732986466063
1 13000 10 12976.666666666666 124.24975610509489 778600 0 24328 12853.1 13067.4 73.55742427971921 1.0 396.0 90.43821815698891
1 14000 10 13556.95 542.2771848038022 813417 0 0 13327.6 13778.4 184.65916440837714 398.0 887.0 123.0214772643627
1 15000 10 13577.5 543.2700648748842 814650 0 0 13196.6 13769.2 245.94786439406238 400.0 905.0 123.78503553126333
