client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.1166666666668 2.7387446892070404 60007 0 58481 999.9 1000.3 0.18348478592696807 1.0 76.0 5.7999317452669965
1 2000 10 2000.1166666666666 13.863392316031172 120007 0 101762 1996.0 2003.8 3.011588728008279 1.0 268.0 34.147318817610916
1 3000 10 3000.016666666667 23.879972518425145 180001 0 120916 2994.3 3006.0 4.717379215906469 1.0 397.0 56.94748651774615
1 4000 10 4010.45 51.86132660977502 240627 0 94802 3992.4 4034.4 15.696337152342256 1.0 500.0 96.2619958650847
1 5000 10 5020.7 81.8334508792434 301242 0 85090 4990.6 5065.5 32.66098590061242 1.0 595.0 131.47313158307944
1 6000 10 6016.916666666667 167.09533510448296 361015 0 50652 5998.0 6048.0 20.236147525323798 1.0 725.0 189.39441861146761
1 7000 10 7055.083333333333 350.4717709815078 423305 0 24817 6785.2 7590.1 320.7674573061718 1.0 1020.0 289.5726718480017
1 8000 10 7263.416666666667 1024.8710134119617 435805 0 0 6535.6 8003.7 522.8817855564167 426.0 2011.0 350.17255975949945
1 9000 10 7256.916666666666 1027.039373930618 435415 0 0 6659.6 7872.3 528.0694174695848 443.0 2104.0 370.4883733425445
1 10000 10 7530.383333333333 990.7810779885043 451823 0 0 6958.8 7961.3 428.485833682593 436.0 1869.0 362.8795917161405
