client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 999.8833333333333 4.321883713371765 59993 0 46171 998.4 1001.2 1.1583033569262888 1.0 77.0 5.756137869108412
1 2000 10 2000.2 17.149997881625218 120012 0 62434 1997.1 2003.0 2.332380757938163 1.0 267.0 35.78494130656711
1 3000 10 3000.2833333333333 33.39756067374011 180017 0 78620 2996.5 3004.3 3.319889556395974 1.0 370.0 64.05742883647854
1 4000 10 4011.983333333333 97.16528493508231 240719 0 46439 3981.6 4038.3 21.497201368240166 1.0 509.0 122.36346129535232
1 5000 10 4551.433333333333 1294.1207426259223 273086 0 1 3869.3 5278.3 533.3893274772815 178.0 2636.0 538.7052754282419
1 6000 10 4753.75 1190.0179052253668 285225 0 0 4492.9 5160.5 244.04377271301152 376.0 2129.0 350.4586149447226
1 7000 10 4732.35 1064.7872367401565 283941 0 0 4422.3 5195.2 279.8250792906167 417.0 1717.0 276.4617322358463
1 8000 10 4864.816666666667 983.3389496620267 291889 0 0 4419.2 5442.2 405.0419208756874 400.0 1864.0 336.37722284114585
1 9000 10 4774.433333333333 971.1649375493078 286466 0 0 4601.9 5017.7 139.0989527878146 408.0 1934.0 321.10629391516403
1 10000 10 5126.833333333333 833.9273428280707 307610 0 0 4835.3 5538.5 296.1124358527798 301.0 1756.0 316.1619101207503
