client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.0500000000001 2.682683492423017 60003 0 58528 999.5 1000.7 0.4277849927241503 1.0 80.0 5.901623835219651
1 2000 10 1999.2 12.859538621716272 119952 0 101405 1995.3 2001.0 2.145693361130646 1.0 267.0 33.01901567369136
1 3000 10 2999.55 23.470000340905216 179973 0 127004 2996.1 3006.5 3.6126167801193936 1.0 398.0 56.61329464789921
1 4000 10 4017.666666666667 49.61845080404299 241060 0 88836 3933.2 4102.0 53.577557490675815 1.0 483.0 94.2929876331337
1 5000 10 5027.083333333334 78.53549943065208 301625 0 79138 4987.1 5070.6 29.253267623748766 1.0 584.0 129.4777330914443
1 6000 10 6004.183333333333 157.4497635900736 360251 0 53080 5996.6 6025.9 11.03402314057122 1.0 731.0 186.00712275693968
1 7000 10 6951.883333333333 673.7830099242778 417113 0 8789 6461.1 7563.4 495.9486159539781 1.0 1943.0 424.74765898032825
1 8000 10 7517.533333333334 977.3413590511029 451052 0 0 7093.5 8096.4 383.1741414378931 405.0 1904.0 351.83427238566765
1 9000 10 7644.583333333333 971.5164942497411 458675 0 0 6747.9 8336.9 706.8151821138727 412.0 2007.0 385.42193011177636
1 10000 10 7529.433333333333 995.4207895697984 451766 0 0 7190.3 8173.9 369.67372460950816 412.0 2045.0 395.50000908855264
