client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 999.6666666666667 1.9839386847229914 59980 0 59775 998.1 1000.9 1.2176480060619348 1.0 51.0 1.846357484947831
1 2000 10 2000.3999999999999 3.13906911875536 120024 0 118651 1997.5 2003.2 2.160555484129033 1.0 47.0 2.4304518745745742
1 3000 10 3000.0833333333335 4.679054266490599 180005 0 150457 2994.0 3005.6 4.75454168839292 1.0 57.0 3.267095388675368
1 4000 10 4000.7333333333336 5.997476289505037 240044 0 134621 3994.9 4006.2 3.7824154540010757 1.0 51.0 4.179834407473987
1 5000 10 5001.333333333333 7.3207558086110724 300080 0 119449 4993.9 5008.0 5.166301062333471 1.0 52.0 5.068490308294825
1 6000 10 6000.05 8.405213129152441 360003 0 121342 5988.9 6010.7 8.73218185793221 1.0 56.0 5.781251092236457
1 7000 10 7000.283333333333 9.201690920817189 420017 0 114546 6986.7 7010.3 10.237268515901656 1.0 60.0 6.034039030674752
1 8000 10 8000.466666666666 10.518266197344566 480028 0 110909 7979.5 8016.5 13.783274889033683 1.0 61.0 7.1179020454806645
1 9000 10 8998.816666666666 10.40691908905061 539929 0 124519 8971.6 9017.3 17.26446253628127 1.0 67.0 6.389182102771882
1 10000 10 9998.216666666665 11.26941912458049 599893 0 123561 9975.7 10017.8 13.479676059410828 1.0 62.0 6.703843062739606
1 11000 10 10993.816666666668 12.296202244191203 659629 0 122890 10961.1 11011.8 18.128035378017533 1.0 85.0 8.259616059218898
1 12000 10 12000.15 13.317052132341889 720009 0 120529 11981.4 12012.0 11.972092548923856 1.0 73.0 8.842210274143538
1 13000 10 13003.066666666668 21.00496908839815 780184 0 91275 12876.5 13128.6 91.42090935156293 1.0 132.0 20.57200746552224
1 14000 10 13190.8 377.4539829628301 791448 0 0 13103.9 13261.5 62.91727902571751 225.0 621.0 79.55416528588127
1 15000 10 12895.966666666667 329.99744751905314 773758 0 0 12857.8 12936.5 31.44962108939727 171.0 543.0 73.72678233700681
1 16000 10 13116.699999999999 289.62800127064804 787002 0 0 12986.3 13241.4 100.68157726217848 136.0 541.0 74.19178167115903
1 17000 10 13434.566666666668 262.21880621382155 806074 0 0 13349.5 13504.6 53.37728605564979 128.0 490.0 68.79136102929272
1 18000 10 13210.166666666666 240.65646913362184 792610 0 0 13139.8 13274.1 53.04577897125017 127.0 482.0 58.14278404057682
1 19000 10 13151.300000000001 236.9332575486834 789078 0 0 13043.7 13252.7 91.66484604252605 128.0 479.0 55.600736983235514
1 20000 10 20807.35 235.32280132321563 1248441 0 0 13010.4 59214.3 18815.606037409478 133.0 451.0 48.71427898632481
1 21000 10 13155.8 228.38844893310548 789348 0 0 13032.6 13301.7 102.44321353803797 129.0 390.0 45.778927091344215
1 22000 10 13227.15 222.153575730695 793629 0 0 12952.8 13369.6 147.04628863048552 125.0 417.0 47.32116138425182
1 23000 10 13029.75 224.67153501282323 781785 0 0 12968.0 13086.7 40.08624452352721 130.0 394.0 46.16401453233698
1 24000 10 12480.366666666667 239.57459316099153 748822 0 0 12313.8 12676.5 124.39870846060548 137.0 405.0 45.958080931000715
1 25000 10 12994.949999999999 223.38452807247953 779697 0 0 12938.7 13052.6 50.93324061946183 126.0 391.0 46.929975749672
