client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 188.83333333333331 36939.948186071146 11330 0 0 181.6 194.8 5.253824004157994 27797.0 43368.0 3426.9050038252217
1 2000 10 145.75 38710.52898799314 8745 0 0 143.5 152.2 3.2042159727459034 25576.0 53581.0 6881.773758570321
1 3000 10 172.83333333333334 33083.80055935963 10370 0 0 170.8 175.1 1.853285371082031 22739.0 45980.0 6212.4987354182285
1 4000 10 172.51666666666668 33666.228985507245 10351 0 0 169.5 176.5 2.3936722137056834 22921.0 46070.0 5852.259443018179
1 5000 10 143.76666666666665 39301.103872014835 8626 0 0 141.3 150.2 3.2172451984060233 25684.0 53590.0 7116.282864618832
1 6000 10 168.2 34982.3855529132 10092 0 0 161.8 174.9 4.343270657004924 23041.0 47164.0 6012.159424720231
1 7000 10 172.15 34588.86831913245 10329 0 0 168.4 176.6 2.828957405122951 22606.0 46168.0 6200.102013867832
1 8000 10 166.06666666666666 35485.29198032721 9964 0 0 163.2 170.0 2.9125017882684068 23366.0 47409.0 6260.09216044144
1 9000 10 143.76666666666665 38664.64015766288 8626 0 0 142.6 145.5 1.1809600614189584 27195.0 54794.0 6983.851106411666
1 10000 10 139.06666666666666 39629.86226324622 8344 0 0 136.5 141.2 1.9623115620784224 27978.0 56484.0 7343.8016540844255
1 11000 10 140.38333333333333 39292.03134275199 8423 0 0 138.1 144.0 1.9742509127936778 27661.0 55879.0 7105.717798317009
1 12000 10 167.1833333333333 34833.46007377131 10031 0 0 161.3 172.9 3.9861844747410573 23222.0 47261.0 6636.192388224998
1 13000 10 141.1 38900.50525694034 8466 0 0 140.2 142.4 0.8532291603080677 26919.0 54919.0 6836.172220411698
1 14000 10 170.96666666666667 33799.43721973094 10258 0 0 166.4 175.0 2.957476401709179 22713.0 46134.0 6534.224430792776
1 15000 10 167.41666666666666 34383.15818815331 10045 0 0 164.3 171.1 2.445744603728409 22772.0 47183.0 6651.838619694941
1 16000 10 164.48333333333335 35328.809465896426 9869 0 0 160.9 168.6 2.7088127780757825 23487.0 47936.0 6713.698899399474
1 17000 10 170.86666666666667 33680.631219512194 10252 0 0 166.9 174.4 2.6257697284161576 22483.0 46246.0 6536.843614694402
1 18000 10 140.41666666666666 39060.372001899785 8425 0 0 138.5 142.7 1.4538454755119818 27049.0 55200.0 6869.506504072204
1 19000 10 166.95 34705.16004392971 10017 0 0 163.4 170.6 2.5232915011944197 23197.0 47262.0 6682.432751343681
1 20000 10 138.4 39409.64968689788 8304 0 0 136.2 141.4 1.8406520583749717 27230.0 55834.0 7011.498172529311
1 21000 10 138.36666666666667 39533.57323536497 8302 0 0 137.2 139.7 0.9479803092188509 27636.0 56130.0 7074.848903065096
1 22000 10 139.46666666666667 39160.292936536396 8368 0 0 136.9 140.8 1.5253414918196742 27017.0 55407.0 6876.827486310664
1 23000 10 138.25 39699.34350132626 8295 0 0 136.5 140.4 1.5706686474237668 27865.0 56436.0 7082.3133832526355
1 24000 10 167.86666666666667 34382.32618409294 10072 0 0 164.4 172.0 2.9179901759030393 22938.0 47047.0 6623.9588828267115
1 25000 10 140.31666666666666 39397.19194678703 8419 0 0 138.6 142.3 1.6240894885032287 27662.0 55776.0 6997.257272417534
