client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.1 4.06280613725189 60006 0 38519 999.5 1001.5 0.7238784428341524 1.0 43.0 2.2303547724117245
1 2000 10 1999.8 6.919742307366279 119988 0 57891 1997.4 2002.2 1.814386948806685 1.0 53.0 4.250318175036325
1 3000 10 2999.3333333333335 8.823607965110382 179960 0 97136 2997.6 3000.4 1.0911767348449126 1.0 58.0 5.413110945978867
1 4000 10 4000.333333333334 10.600703409641346 240020 0 74189 3994.9 4005.1 3.5308167138307214 1.0 61.0 6.631388188125292
1 5000 10 5001.400000000001 11.539891817658562 300084 0 74552 4994.5 5010.2 5.866174221756467 1.0 80.0 7.379930987005048
1 6000 10 6048.083333333333 173.10868594056785 362885 0 7717 6008.8 6098.9 38.8752577697776 1.0 491.0 149.86644972982504
1 7000 10 6086.483333333334 872.6072806534735 365189 0 0 6072.6 6108.8 15.585302905836219 537.0 1221.0 170.69297532858752
1 8000 10 5685.983333333334 829.639528782767 341159 0 0 5583.3 5830.9 97.02268635049569 450.0 1295.0 172.74311031657766
1 9000 10 5968.433333333333 747.4208670058586 358106 0 0 5946.9 5997.5 17.54259577903651 393.0 1158.0 164.97613358745807
1 10000 10 5969.466666666666 682.8687403676487 358168 0 0 5806.8 6023.7 81.88522862315679 319.0 1267.0 172.4029363148406
