client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 6000 10 6004.866666666667 155.69009544400507 360292 0 54379 5996.1 6024.5 10.686564773895508 1.0 732.0 187.58412300060283
1 7000 10 7039.55 368.72932346903866 422373 0 25628 6817.6 7581.7 298.9338973753227 1.0 1020.0 296.31785998283016
1 8000 10 7611.55 967.6112017376948 456693 0 0 7145.0 8556.4 556.9254016472942 411.0 1876.0 359.04331602067396
1 9000 10 7780.55 961.7084846186966 466833 0 0 7082.4 8780.5 653.7339971272719 413.0 2038.0 377.0405213290263
1 10000 10 7569.9 989.4315953094933 454194 0 0 6919.3 8118.4 486.1369272128994 411.0 2019.0 383.9445198831412
1 11000 10 7678.066666666667 614.0498455554036 460684 0 2 6376.2 8325.9 688.4229039381728 5.0 1520.0 353.1681771115574
1 12000 10 7524.883333333333 601.6830781429612 451493 0 15 6058.9 8036.8 740.5856153522474 2.0 1729.0 383.02705081604404
1 13000 10 7792.166666666667 561.410807862597 467530 0 0 6288.2 8465.2 807.8398917277278 49.0 1817.0 374.0155235259467
1 14000 10 7721.099999999999 543.0692823098708 463266 0 0 6457.6 8247.5 652.7576763240704 74.0 1624.0 362.95273652743316
1 15000 10 7831.833333333333 494.7501154478846 469910 0 0 6840.8 8649.3 763.7872705581486 109.0 1603.0 332.6170548668065
