client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 1553.6666666666667 3.319299480770923 93220 0 89117 1535.5 1580.8 21.140829375089986 1.0 155.0 10.68625371109329
10 200 10 3718.0833333333335 36.629027697161824 223085 0 164143 3602.8 3858.4 94.64027507708687 1.0 833.0 91.60284590305149
10 300 10 5034.333333333334 113.44334297841522 302060 0 153037 4846.3 5232.4 156.25396848293684 1.0 1326.0 212.35462312332345
10 400 10 6167.266666666666 990.9315649480188 370036 0 0 5698.9 6868.2 491.1121080432316 173.0 2994.0 398.402233639376
10 500 10 6563.75 851.5335220924327 393825 0 0 5502.2 7268.3 683.3193243279455 357.0 2458.0 324.2805786830432
10 600 10 6522.633333333333 866.7643066497334 391358 0 0 5742.3 7257.8 768.3647094099695 264.0 2935.0 389.86253502817004
10 700 10 6921.133333333333 745.0168638084322 415268 0 0 5769.6 7588.7 766.066434891039 225.0 2373.0 349.0776805642241
10 800 10 6493.1 820.4958233936179 389586 0 0 5749.1 7319.4 542.4067329965584 281.0 2477.0 371.8576155898025
10 900 10 6856.283333333334 735.8757667779402 411377 0 0 6398.0 7288.3 394.22601343222726 221.0 2257.0 355.26614692342656
10 1000 10 6876.599999999999 739.462928265849 412596 0 0 5755.3 7992.7 773.0545026063814 231.0 2894.0 362.83568385974814
