client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 1470.2 1.374519049415315 88212 0 87748 1434.2 1510.0 32.317673183569376 1.0 186.0 3.8345568795998046
10 200 10 3400.0666666666666 1.5632462581983295 204004 0 203345 3192.9 3510.8 118.70765209819734 1.0 1001.0 12.989471546314006
10 300 10 5036.75 1.6110667327017398 302205 0 301479 4535.7 5452.6 320.18429536752745 1.0 1508.0 15.05425978951737
10 400 10 6654.433333333333 1.7270563188959176 399266 0 398366 6003.6 7371.8 657.292223190467 1.0 2073.0 18.908815347020962
10 500 10 6757.833333333333 1.773393931292608 405470 0 404596 5632.2 7641.0 715.5879782854564 1.0 2851.0 28.09531686962514
10 600 10 6674.85 1.756016277461567 400491 0 399581 5545.2 7820.2 843.979300101608 1.0 2853.0 26.59573172198095
10 700 10 6236.566666666667 1.8989762976096884 374194 0 372712 5353.1 7501.4 757.354629395415 1.0 2012.0 18.94034289107547
10 800 10 6766.716666666666 1.7389772901168112 406003 0 405145 5711.4 7583.9 635.1016656147791 1.0 2828.0 27.028870222599345
10 900 10 7034.833333333333 1.6181081936769515 422090 0 421233 5809.8 8272.4 934.705360349809 1.0 2827.0 25.046356000348005
10 1000 10 6439.266666666666 1.7302974740702224 386356 0 385472 5493.2 7088.3 671.5494074650552 1.0 2121.0 19.683014655274068
