client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.0500000000001 2.465260480152631 60003 0 59701 998.8 1000.7 0.6892024376045375 1.0 42.0 1.6041795806209935
1 3000 10 2999.8166666666666 5.574361861221519 179989 0 145328 2997.5 3001.5 1.6461065174121632 1.0 56.0 3.7400060599540614
1 5000 10 5000.016666666666 8.431160778167694 300001 0 111170 4990.7 5006.8 6.845558170570737 1.0 56.0 5.496033801786084
1 7000 10 7000.583333333333 10.99433861182569 420035 0 106112 6994.7 7010.2 5.916558684460696 1.0 60.0 7.235386013463842
1 9000 10 8998.933333333334 14.673998315710676 539936 0 89048 8989.6 9004.8 6.28702367314329 1.0 64.0 10.112239034525738
1 11000 10 10548.45 516.8038444887551 632907 0 0 10502.6 10587.1 30.143440414126427 310.0 762.0 106.07912692361647
1 13000 10 10699.15 401.9268508869085 641949 0 0 10602.7 10765.5 60.337509063599704 205.0 677.0 89.72655668382333
1 15000 10 10805.833333333334 321.3648122156243 648350 0 0 10745.8 10917.2 70.1399933466401 164.0 580.0 81.28359096407998
1 17000 10 10175.233333333334 312.74563972534526 610514 0 0 9804.1 10398.0 232.10563686965185 164.0 719.0 72.88596307984022
1 19000 10 10513.233333333334 292.2823842369842 630794 0 0 9987.2 10713.1 264.6365331292461 156.0 543.0 64.27568199331195
1 21000 10 10598.733333333334 284.91112903783795 635924 0 0 10503.4 10668.4 61.52562609731571 159.0 488.0 57.89960541298483
1 23000 10 10637.166666666668 280.36904151958 638230 0 0 10421.0 10761.5 123.95125923792239 155.0 670.0 59.26791409697473
1 25000 10 10610.233333333334 279.2572373278042 636614 0 0 10528.9 10703.6 65.04375962893518 156.0 459.0 57.32020915472822
