client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 794.0666666666667 4.148842885554149 47644 0 43407 793.6 794.4 0.3204163957519274 1.0 56.0 6.450864568465887
10 300 10 2777.9333333333334 8.511691001648263 166676 0 90516 2776.3 2779.3 1.1843422928641212 1.0 58.0 7.362425100330039
10 500 10 4411.05 1292.4364346094403 264663 0 0 4378.7 4442.4 28.77538878972786 769.0 1813.0 263.51111048682145
10 700 10 4718.433333333333 1049.094962575194 283106 0 0 4699.9 4740.1 15.872953936387278 610.0 1559.0 212.66280983133578
10 900 10 4535.0 964.9110689660242 272100 0 0 4461.7 4665.0 80.7461949567904 462.0 1571.0 230.61609332823133
10 1100 10 4795.083333333333 823.2036906371545 287705 0 0 4765.3 4829.2 25.199001302961616 405.0 1370.0 211.0510160213658
10 1300 10 4832.5 771.7843751293335 289950 0 0 4800.8 4872.0 24.108338806313448 395.0 1354.0 206.2183684914841
10 1500 10 4590.55 793.6454097193981 275433 0 0 4324.2 4772.5 200.88391423904503 401.0 1509.0 236.38838254445287
10 1700 10 4756.733333333333 736.2738377654822 285404 0 0 4698.0 4783.7 31.693574532808054 399.0 1318.0 194.1350838022933
10 1900 10 4792.366666666667 721.0481983438883 287542 0 0 4750.9 4840.2 36.2064450984445 389.0 1319.0 190.23931766706963
10 2100 10 4806.0 705.2014190644301 288360 0 0 4766.8 4830.0 26.962566643403996 394.0 1292.0 182.31535739318232
10 2300 10 4607.95 733.422190071435 276477 0 0 4543.0 4694.6 59.00575395671189 406.0 1373.0 188.06057660856146
10 2500 10 4791.983333333334 692.9046925003479 287519 0 0 4721.9 4825.7 40.38061003336472 397.0 1303.0 179.48021152634294
