client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 793.9333333333334 1.879147428325996 47636 0 46123 793.4 794.4 0.39327683210008235 1.0 40.0 2.25290816812896
10 300 10 2778.7000000000003 3.0571804699813727 166722 0 137920 2777.1 2781.4 1.6419500601419998 1.0 43.0 3.0742870411176124
10 500 10 4842.383333333333 4.292356520092539 290543 0 191094 4839.4 4845.7 2.688060019171175 1.0 48.0 3.5658780765869165
10 700 10 6828.65 5.622679118031318 409719 0 213845 6820.4 6836.8 5.484432513943665 1.0 55.0 4.7035972227443725
10 900 10 8811.616666666667 8.088311109057338 528697 0 254404 8791.2 8834.9 14.012197067792638 1.0 147.0 14.363680425407463
10 1100 10 10809.566666666668 19.42472155756961 648574 0 94417 10763.6 10925.5 61.15117878395034 1.0 134.0 17.87125797801276
10 1300 10 11211.0 426.0269637029934 672660 0 0 11067.6 11362.4 103.42115837680397 233.0 654.0 91.65392752155398
10 1500 10 11679.199999999999 330.51463159156555 700752 0 0 11591.9 11841.7 87.86498733853007 144.0 608.0 88.7890475165641
10 1700 10 11325.25 291.8275244966018 679515 0 0 11182.6 11571.0 137.42684963281366 151.0 558.0 75.22963136560607
10 1900 10 11272.916666666668 277.29006613312674 676375 0 0 10814.8 11442.7 232.6671907826001 149.0 527.0 65.4398671727202
10 2100 10 11287.466666666667 266.3418552146442 677248 0 0 11227.3 11380.4 55.79109845366621 146.0 472.0 59.89791857996439
10 2300 10 11474.433333333334 257.80226481089295 688466 0 0 11407.2 11512.4 38.84253682068979 148.0 432.0 56.55271228025155
10 2500 10 11482.316666666666 255.22659546518767 688939 0 0 11394.0 11541.5 52.66731117749102 142.0 423.0 55.34800591635189
