client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 999.85 1.7777037572804446 59991 0 59505 999.2 1000.6 0.5683308895353101 1.0 45.0 3.309856741455336
1 3000 10 3000.0499999999997 12.808355773435522 180003 0 143895 2995.0 3004.4 3.8645827717879646 1.0 171.0 26.035492409741256
1 5000 10 5005.200000000001 90.68499689012683 300312 0 88551 4990.5 5036.0 16.207899308670477 1.0 464.0 116.02163267741221
1 7000 10 6930.116666666667 458.1676395893263 415807 0 5740 6798.7 7145.2 118.45457216446583 1.0 1197.0 268.41279383628347
1 9000 10 6348.716666666666 1180.1338406974637 380923 0 0 3832.6 7765.2 1415.6351287202035 341.0 3612.0 560.8842920197576
1 11000 10 6270.833333333333 1153.6144255532904 376250 0 0 4867.0 7924.0 1052.075903472115 361.0 2912.0 580.1707698840203
1 13000 10 5782.283333333333 1276.0974989695535 346937 0 0 4293.0 8412.2 1431.3070535935565 341.0 3598.0 814.7517770638168
1 15000 10 3406.2000000000003 2661.5074106364427 204372 0 2699 0.0 8739.9 3662.349645241426 1.0 34566.0 6905.422552735227
1 17000 10 2917.5666666666666 2155.0994321752146 175054 0 0 0.0 11168.2 4478.490633535664 57.0 29817.0 5904.637932296167
1 19000 10 2367.1833333333334 3048.3186861930576 142031 0 0 0.0 9774.2 3845.76632801145 168.0 36089.0 8028.645473813677
1 21000 10 2341.1 2105.4299118647928 140466 0 0 0.0 8386.9 3537.730791340686 175.0 31547.0 5617.407970291192
1 23000 10 2773.6833333333334 2920.5313151585437 166421 0 0 0.0 13434.8 5235.782781367717 160.0 33313.0 7169.5807659075945
1 25000 10 3049.2166666666667 2478.354218592855 182953 0 0 0.0 11557.0 4525.341740649724 151.0 31393.0 6496.984446043996
