client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 794.1666666666667 4.846171158498847 47650 0 46725 794.0 794.4 0.1505545305418152 1.0 302.0 23.783162913487182
10 300 10 2778.1 334.99125417870454 166686 0 138418 2301.1 3254.7 301.5556665028863 1.0 4628.0 909.610301105903
10 500 10 4621.716666666667 416.8410376515888 277303 0 166138 3511.7 5271.3 607.4177225490436 1.0 4084.0 803.9297463051566
10 700 10 4485.483333333334 1994.8993842735208 269129 0 1 2508.2 5961.0 1177.781167138729 344.0 14479.0 3173.1219553775036
10 900 10 2128.0166666666664 3885.9856663716023 127681 0 64113 9.9 9011.7 3414.429359888218 1.0 25353.0 7182.469386278404
10 1100 10 3225.6 1287.92981450111 193536 0 67865 0.0 6025.0 2756.4808644356667 1.0 13321.0 3561.299892512477
10 1300 10 9297.066666666666 624.7360766950407 557824 0 109241 0.0 15106.9 6014.546311956261 1.0 24807.0 2937.8937779163675
10 1500 10 1310.1499999999999 4986.488207007099 78609 0 1 0.0 7217.2 2905.2837174706365 345.0 44773.0 13370.970979106542
10 1700 10 5833.233333333334 1136.6019852165937 349994 0 0 0.0 16022.8 5743.088655302708 39.0 28636.0 4291.136040699171
10 1900 10 3815.95 1785.4843788899905 228957 0 0 0.0 14264.1 5289.679983420548 156.0 25739.0 5244.175806708889
10 2100 10 4140.049999999999 1565.4382160886964 248403 0 0 0.0 16358.9 6099.505705464993 156.0 31787.0 5704.042017908567
10 2300 10 3314.4 1645.812243543326 198864 0 0 0.0 9915.4 4925.087284911811 147.0 23445.0 5431.079697768423
10 2500 10 3334.2833333333333 1492.0042737819722 200057 0 0 0.0 11364.5 4195.415188710966 139.0 16666.0 3861.850207282628
