client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.3 1.6243001443001444 60018 0 59492 998.7 1001.9 1.3326664999166173 1.0 53.0 2.5274523404027827
1 3000 10 2999.8166666666666 6.391823655640324 179989 0 150220 2994.1 3005.0 3.581293993330746 1.0 110.0 11.36683545168223
1 5000 10 4999.5 33.263348068029345 299970 0 106279 4990.9 5007.8 6.890283013055631 1.0 292.0 55.706063790447345
1 7000 10 7011.833333333334 101.05270379376964 420710 0 73719 6961.4 7101.5 50.58698119740571 1.0 481.0 120.35820142057932
1 9000 10 9080.833333333332 416.8098109736467 544850 0 16875 8934.2 9242.9 106.632090229286 1.0 1271.0 326.40634744817487
1 11000 10 9002.633333333333 821.3858704305037 540158 0 0 8522.3 9368.9 364.63226224055757 323.0 1509.0 208.20912567772413
1 13000 10 9339.483333333334 405.0945357980362 560369 0 415 8651.4 9583.1 342.48782411447394 1.0 864.0 196.7631747882102
1 15000 10 8952.766666666666 403.4822140641813 537166 0 0 8777.2 9175.4 178.25414067186932 87.0 940.0 207.77654899194042
1 17000 10 9339.133333333333 374.0055180093763 560348 0 0 8828.6 9637.5 280.2368617199861 35.0 987.0 210.06648445823356
1 19000 10 9344.900000000001 377.8094111939846 560694 0 0 9098.2 9748.7 237.4837426014675 52.0 983.0 201.09573478630585
1 21000 10 9388.466666666665 355.77945635425027 563308 0 0 9196.7 9558.6 144.23320930585538 63.0 915.0 183.99991553652004
1 23000 10 9125.233333333334 353.18912027820295 547514 0 0 8829.7 9318.8 172.99910597071462 71.0 840.0 167.00826673806134
1 25000 10 8944.800000000001 357.94175375964016 536688 0 0 8317.8 9246.4 358.7476940692445 78.0 995.0 187.18146480714663
