client.theads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 10000 10 10000.216666666667 180.73028499716622 600013 0 75283 7401.7 12595.5 1642.4668951509088 1.0 1412.0 337.58265086438814
1 20000 10 10178.1 418.45048076608174 610686 0 0 3645.3 12719.3 3455.4351210809905 48.0 1629.0 259.8127257658829
1 10000 10 10000.633333333333 263.5512036384256 600038 0 61337 7857.5 11865.3 1276.7568831483409 1.0 1424.0 378.4582802772525
1 11000 10 10774.699999999999 404.65812170617056 646482 0 36941 9151.3 12771.8 1228.3206731143134 1.0 2242.0 436.6361305111665
1 12000 10 12001.766666666666 38.305239339825775 720106 0 69865 11906.6 12065.6 55.15486077098421 1.0 566.0 63.734247851189956
1 13000 10 13034.2 63.709530760026404 782052 0 58316 12940.9 13198.9 87.8449543229432 1.0 477.0 84.02875299578497
1 14000 10 14014.016666666666 230.09741140840367 840841 0 22841 12773.6 14995.1 815.7062545222186 1.0 831.0 229.17443450555305
1 15000 10 12431.616666666667 552.0958314505651 745897 0 1142 8825.8 14599.2 2582.5710386486307 1.0 2568.0 343.0992971222997
1 14000 10 13936.1 148.32787086213298 836166 0 35424 12687.3 14956.9 728.2425063122862 1.0 802.0 175.2955560469897
1 14100 10 14060.95 216.6874953940659 843657 0 22319 13321.2 14616.2 439.62377892921097 1.0 664.0 202.1074056197548
1 14200 10 14210.816666666666 213.45104263026698 852649 0 26310 13312.2 14984.4 661.44401551958 1.0 766.0 204.69309260071242
1 14300 10 14258.466666666667 101.74441288090254 855508 0 40731 13986.0 14440.6 162.88054109274884 1.0 558.0 118.8827621683075
1 14400 10 14371.833333333332 38.0560394400965 862310 0 59736 14273.3 14509.6 85.88752334691398 1.0 270.0 43.394792072320975
1 14500 10 14424.316666666666 128.29078047936818 865459 0 34283 14192.7 14601.8 175.867739129911 1.0 621.0 151.16994674317394
1 14600 10 14558.583333333332 69.50797863150402 873515 0 47267 14311.2 14781.7 149.3647269828679 1.0 547.0 82.51492625490012
1 14700 10 14667.0 199.84925727264547 880020 0 21342 14229.3 15047.4 262.3638542177639 1.0 631.0 185.94764180923806
1 14800 10 14481.066666666668 377.81893171404124 868864 0 4371 14012.8 15041.8 411.1972892258249 1.0 760.0 199.1520166330445
1 14900 10 13987.199999999999 416.063110882198 839232 0 4694 12894.2 14712.1 695.586840013524 1.0 995.0 217.78434652416163
